,URL,Widest Theaters
0,https://www.boxofficemojo.com/movies/?id=marvel2017b.htm,"4,084 theaters"
1,https://www.boxofficemojo.com/movies/?id=theincredibles2.htm,"4,410 theaters"
2,https://www.boxofficemojo.com/movies/?id=foxmarvel18.htm,"4,349 theaters"
3,https://www.boxofficemojo.com/movies/?id=ant-manandthewasp.htm,"4,206 theaters"
4,https://www.boxofficemojo.com/movies/?id=aquietplace.htm,"3,808 theaters"
5,https://www.boxofficemojo.com/movies/?id=hoteltransylvania3.htm,"4,267 theaters"
6,https://www.boxofficemojo.com/movies/?id=wbeventfilm2018c.htm,"4,145 theaters"
7,https://www.boxofficemojo.com/movies/?id=mammamia2.htm,"3,514 theaters"
8,https://www.boxofficemojo.com/movies/?id=thenun.htm,"3,876 theaters"
9,https://www.boxofficemojo.com/movies/?id=ladisneyfairytale22018.htm,"3,980 theaters"
10,https://www.boxofficemojo.com/movies/?id=newlinetentpole2018.htm,"4,115 theaters"
11,https://www.boxofficemojo.com/movies/?id=icanonlyimagine.htm,"2,894 theaters"
12,https://www.boxofficemojo.com/movies/?id=purge4.htm,"3,038 theaters"
13,https://www.boxofficemojo.com/movies/?id=bookclub.htm,"3,169 theaters"
14,https://www.boxofficemojo.com/movies/?id=insidious4.htm,"3,150 theaters"
15,https://www.boxofficemojo.com/movies/?id=pacificrim2.htm,"3,708 theaters"
16,https://www.boxofficemojo.com/movies/?id=dcfilm0318.htm,"3,854 theaters"
17,https://www.boxofficemojo.com/movies/?id=tag.htm,"3,382 theaters"
18,https://www.boxofficemojo.com/movies/?id=overboard2018.htm,"2,006 theaters"
19,https://www.boxofficemojo.com/movies/?id=thepredator.htm,"4,070 theaters"
20,https://www.boxofficemojo.com/movies/?id=ifeelpretty.htm,"3,440 theaters"
21,https://www.boxofficemojo.com/movies/?id=redsparrow.htm,"3,064 theaters"
22,https://www.boxofficemojo.com/movies/?id=breakingin2018.htm,"2,537 theaters"
23,https://www.boxofficemojo.com/movies/?id=denofthieves.htm,"2,432 theaters"
24,https://www.boxofficemojo.com/movies/?id=acrimony.htm,"2,006 theaters"
25,https://www.boxofficemojo.com/movies/?id=smallfoot.htm,"4,131 theaters"
26,https://www.boxofficemojo.com/movies/?id=uncledrew.htm,"2,742 theaters"
27,https://www.boxofficemojo.com/movies/?id=untitledgregberlantifilm.htm,"2,434 theaters"
28,https://www.boxofficemojo.com/movies/?id=thecommuter.htm,"2,892 theaters"
29,https://www.boxofficemojo.com/movies/?id=mile22.htm,"3,520 theaters"
30,https://www.boxofficemojo.com/movies/?id=peppermint.htm,"2,980 theaters"
31,https://www.boxofficemojo.com/movies/?id=thespywhodumpedme.htm,"3,111 theaters"
32,https://www.boxofficemojo.com/movies/?id=isleofdogs.htm,"$1,620,294"
33,https://www.boxofficemojo.com/movies/?id=supertroopers2.htm,"2,125 theaters"
34,https://www.boxofficemojo.com/movies/?id=wbanimation62018.htm,"3,188 theaters"
35,https://www.boxofficemojo.com/movies/?id=winchester.htm,"2,480 theaters"
36,https://www.boxofficemojo.com/movies/?id=whiteboyrick.htm,"2,504 theaters"
37,https://www.boxofficemojo.com/movies/?id=proudmary.htm,"2,125 theaters"
38,https://www.boxofficemojo.com/movies/?id=superfly.htm,"2,220 theaters"
39,https://www.boxofficemojo.com/movies/?id=paulapostleofchrist.htm,"1,473 theaters"
