,Distributor,URL
0,Buena Vista,https://www.boxofficemojo.com/movies/?id=marvel2017b.htm
1,Buena Vista,https://www.boxofficemojo.com/movies/?id=theincredibles2.htm
2,Fox,https://www.boxofficemojo.com/movies/?id=foxmarvel18.htm
3,Buena Vista,https://www.boxofficemojo.com/movies/?id=ant-manandthewasp.htm
4,Paramount,https://www.boxofficemojo.com/movies/?id=aquietplace.htm
5,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=hoteltransylvania3.htm
6,Warner Bros.,https://www.boxofficemojo.com/movies/?id=wbeventfilm2018c.htm
7,Universal,https://www.boxofficemojo.com/movies/?id=mammamia2.htm
8,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=thenun.htm
9,Buena Vista,https://www.boxofficemojo.com/movies/?id=ladisneyfairytale22018.htm
10,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=newlinetentpole2018.htm
11,Roadside Attractions,https://www.boxofficemojo.com/movies/?id=icanonlyimagine.htm
12,Universal,https://www.boxofficemojo.com/movies/?id=purge4.htm
13,Paramount,https://www.boxofficemojo.com/movies/?id=bookclub.htm
14,Universal,https://www.boxofficemojo.com/movies/?id=insidious4.htm
15,Universal,https://www.boxofficemojo.com/movies/?id=pacificrim2.htm
16,Warner Bros.,https://www.boxofficemojo.com/movies/?id=dcfilm0318.htm
17,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=tag.htm
18,Pantelion,https://www.boxofficemojo.com/movies/?id=overboard2018.htm
19,Fox,https://www.boxofficemojo.com/movies/?id=thepredator.htm
20,STX Entertainment,https://www.boxofficemojo.com/movies/?id=ifeelpretty.htm
21,Fox,https://www.boxofficemojo.com/movies/?id=redsparrow.htm
22,Universal,https://www.boxofficemojo.com/movies/?id=breakingin2018.htm
23,STX Entertainment,https://www.boxofficemojo.com/movies/?id=denofthieves.htm
24,Lionsgate,https://www.boxofficemojo.com/movies/?id=acrimony.htm
25,Warner Bros.,https://www.boxofficemojo.com/movies/?id=smallfoot.htm
26,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=uncledrew.htm
27,Fox,https://www.boxofficemojo.com/movies/?id=untitledgregberlantifilm.htm
28,Lionsgate,https://www.boxofficemojo.com/movies/?id=thecommuter.htm
29,STX Entertainment,https://www.boxofficemojo.com/movies/?id=mile22.htm
30,STX Entertainment,https://www.boxofficemojo.com/movies/?id=peppermint.htm
31,Lionsgate,https://www.boxofficemojo.com/movies/?id=thespywhodumpedme.htm
32,Fox Searchlight,https://www.boxofficemojo.com/movies/?id=isleofdogs.htm
33,Fox,https://www.boxofficemojo.com/movies/?id=supertroopers2.htm
34,Warner Bros.,https://www.boxofficemojo.com/movies/?id=wbanimation62018.htm
35,Lionsgate,https://www.boxofficemojo.com/movies/?id=winchester.htm
36,Studio 8,https://www.boxofficemojo.com/movies/?id=whiteboyrick.htm
37,Sony / Screen Gems,https://www.boxofficemojo.com/movies/?id=proudmary.htm
38,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=superfly.htm
39,Sony / AFFIRM Films,https://www.boxofficemojo.com/movies/?id=paulapostleofchrist.htm
40,Annapurna Pictures,https://www.boxofficemojo.com/movies/?id=sorrytobotheryou.htm
41,Roadside Attractions,https://www.boxofficemojo.com/movies/?id=forevermygirl.htm
42,A24,https://www.boxofficemojo.com/movies/?id=eighthgrade.htm
43,Neon,https://www.boxofficemojo.com/movies/?id=threeidenticalstrangers.htm
44,Viva Pictures Distribution,https://www.boxofficemojo.com/movies/?id=padmaavat.htm
45,Global Road,https://www.boxofficemojo.com/movies/?id=midnightsun.htm
46,Lionsgate,https://www.boxofficemojo.com/movies/?id=traffik.htm
47,BH Tilt,https://www.boxofficemojo.com/movies/?id=unfriended2.htm
