,Genre,URL
0,Action / Adventure,https://www.boxofficemojo.com/movies/?id=marvel2017b.htm
1,Animation,https://www.boxofficemojo.com/movies/?id=theincredibles2.htm
2,Action,https://www.boxofficemojo.com/movies/?id=foxmarvel18.htm
3,Action,https://www.boxofficemojo.com/movies/?id=ant-manandthewasp.htm
4,Horror Thriller,https://www.boxofficemojo.com/movies/?id=aquietplace.htm
5,Animation,https://www.boxofficemojo.com/movies/?id=hoteltransylvania3.htm
6,Action / Adventure,https://www.boxofficemojo.com/movies/?id=wbeventfilm2018c.htm
7,Musical,https://www.boxofficemojo.com/movies/?id=mammamia2.htm
8,Horror,https://www.boxofficemojo.com/movies/?id=thenun.htm
9,Fantasy,https://www.boxofficemojo.com/movies/?id=ladisneyfairytale22018.htm
10,Action / Adventure,https://www.boxofficemojo.com/movies/?id=newlinetentpole2018.htm
11,Family,https://www.boxofficemojo.com/movies/?id=icanonlyimagine.htm
12,Thriller,https://www.boxofficemojo.com/movies/?id=purge4.htm
13,Comedy,https://www.boxofficemojo.com/movies/?id=bookclub.htm
14,Horror,https://www.boxofficemojo.com/movies/?id=insidious4.htm
15,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=pacificrim2.htm
16,Action / Adventure,https://www.boxofficemojo.com/movies/?id=dcfilm0318.htm
17,Comedy,https://www.boxofficemojo.com/movies/?id=tag.htm
18,Romantic Comedy,https://www.boxofficemojo.com/movies/?id=overboard2018.htm
19,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=thepredator.htm
20,Comedy,https://www.boxofficemojo.com/movies/?id=ifeelpretty.htm
21,Thriller,https://www.boxofficemojo.com/movies/?id=redsparrow.htm
22,Thriller,https://www.boxofficemojo.com/movies/?id=breakingin2018.htm
23,Action Thriller,https://www.boxofficemojo.com/movies/?id=denofthieves.htm
24,Thriller,https://www.boxofficemojo.com/movies/?id=acrimony.htm
25,Animation,https://www.boxofficemojo.com/movies/?id=smallfoot.htm
26,Comedy,https://www.boxofficemojo.com/movies/?id=uncledrew.htm
27,Romantic Comedy,https://www.boxofficemojo.com/movies/?id=untitledgregberlantifilm.htm
28,Action,https://www.boxofficemojo.com/movies/?id=thecommuter.htm
29,Action,https://www.boxofficemojo.com/movies/?id=mile22.htm
30,Action Thriller,https://www.boxofficemojo.com/movies/?id=peppermint.htm
31,Action Comedy,https://www.boxofficemojo.com/movies/?id=thespywhodumpedme.htm
32,Animation,https://www.boxofficemojo.com/movies/?id=isleofdogs.htm
33,Comedy,https://www.boxofficemojo.com/movies/?id=supertroopers2.htm
34,Animation,https://www.boxofficemojo.com/movies/?id=wbanimation62018.htm
35,Horror,https://www.boxofficemojo.com/movies/?id=winchester.htm
36,Crime Drama,https://www.boxofficemojo.com/movies/?id=whiteboyrick.htm
37,Drama,https://www.boxofficemojo.com/movies/?id=proudmary.htm
38,Action / Crime,https://www.boxofficemojo.com/movies/?id=superfly.htm
39,Drama,https://www.boxofficemojo.com/movies/?id=paulapostleofchrist.htm
40,Sci-Fi Comedy,https://www.boxofficemojo.com/movies/?id=sorrytobotheryou.htm
41,Romance,https://www.boxofficemojo.com/movies/?id=forevermygirl.htm
42,Comedy,https://www.boxofficemojo.com/movies/?id=eighthgrade.htm
43,Documentary,https://www.boxofficemojo.com/movies/?id=threeidenticalstrangers.htm
44,Drama,https://www.boxofficemojo.com/movies/?id=padmaavat.htm
45,Romance,https://www.boxofficemojo.com/movies/?id=midnightsun.htm
46,Thriller,https://www.boxofficemojo.com/movies/?id=traffik.htm
