,Production Budget,URL
0,N/A,https://www.boxofficemojo.com/movies/?id=marvel2017b.htm
1,N/A,https://www.boxofficemojo.com/movies/?id=theincredibles2.htm
2,$110 million,https://www.boxofficemojo.com/movies/?id=foxmarvel18.htm
3,N/A,https://www.boxofficemojo.com/movies/?id=ant-manandthewasp.htm
4,$17 million,https://www.boxofficemojo.com/movies/?id=aquietplace.htm
5,$80 million,https://www.boxofficemojo.com/movies/?id=hoteltransylvania3.htm
6,$70 million,https://www.boxofficemojo.com/movies/?id=wbeventfilm2018c.htm
7,$75 million,https://www.boxofficemojo.com/movies/?id=mammamia2.htm
8,$22 million,https://www.boxofficemojo.com/movies/?id=thenun.htm
9,N/A,https://www.boxofficemojo.com/movies/?id=ladisneyfairytale22018.htm
10,$120 million,https://www.boxofficemojo.com/movies/?id=newlinetentpole2018.htm
11,$7 million,https://www.boxofficemojo.com/movies/?id=icanonlyimagine.htm
12,$13 million,https://www.boxofficemojo.com/movies/?id=purge4.htm
13,N/A,https://www.boxofficemojo.com/movies/?id=bookclub.htm
14,$10 million,https://www.boxofficemojo.com/movies/?id=insidious4.htm
15,$150 million,https://www.boxofficemojo.com/movies/?id=pacificrim2.htm
16,$94 million,https://www.boxofficemojo.com/movies/?id=dcfilm0318.htm
17,$28 million,https://www.boxofficemojo.com/movies/?id=tag.htm
18,N/A,https://www.boxofficemojo.com/movies/?id=overboard2018.htm
19,$88 million,https://www.boxofficemojo.com/movies/?id=thepredator.htm
20,$32 million,https://www.boxofficemojo.com/movies/?id=ifeelpretty.htm
21,$69 million,https://www.boxofficemojo.com/movies/?id=redsparrow.htm
22,$6 million,https://www.boxofficemojo.com/movies/?id=breakingin2018.htm
23,N/A,https://www.boxofficemojo.com/movies/?id=denofthieves.htm
24,N/A,https://www.boxofficemojo.com/movies/?id=acrimony.htm
25,N/A,https://www.boxofficemojo.com/movies/?id=smallfoot.htm
26,N/A,https://www.boxofficemojo.com/movies/?id=uncledrew.htm
27,$17 million,https://www.boxofficemojo.com/movies/?id=untitledgregberlantifilm.htm
28,N/A,https://www.boxofficemojo.com/movies/?id=thecommuter.htm
29,$50 million,https://www.boxofficemojo.com/movies/?id=mile22.htm
30,$25 million,https://www.boxofficemojo.com/movies/?id=peppermint.htm
31,$40 million,https://www.boxofficemojo.com/movies/?id=thespywhodumpedme.htm
32,N/A,https://www.boxofficemojo.com/movies/?id=isleofdogs.htm
33,$13.5 million,https://www.boxofficemojo.com/movies/?id=supertroopers2.htm
34,$10 million,https://www.boxofficemojo.com/movies/?id=wbanimation62018.htm
35,N/A,https://www.boxofficemojo.com/movies/?id=winchester.htm
36,$29 million,https://www.boxofficemojo.com/movies/?id=whiteboyrick.htm
37,$14 million,https://www.boxofficemojo.com/movies/?id=proudmary.htm
38,$16 million,https://www.boxofficemojo.com/movies/?id=superfly.htm
39,$5 million,https://www.boxofficemojo.com/movies/?id=paulapostleofchrist.htm
40,N/A,https://www.boxofficemojo.com/movies/?id=sorrytobotheryou.htm
41,$3.5 million,https://www.boxofficemojo.com/movies/?id=forevermygirl.htm
42,N/A,https://www.boxofficemojo.com/movies/?id=eighthgrade.htm
43,N/A,https://www.boxofficemojo.com/movies/?id=threeidenticalstrangers.htm
44,N/A,https://www.boxofficemojo.com/movies/?id=padmaavat.htm
