,Title,URL
0,Black Panther,https://www.boxofficemojo.com/movies/?id=marvel2017b.htm
1,Incredibles 2,https://www.boxofficemojo.com/movies/?id=theincredibles2.htm
2,Deadpool 2,https://www.boxofficemojo.com/movies/?id=foxmarvel18.htm
3,Ant-Man and the Wasp,https://www.boxofficemojo.com/movies/?id=ant-manandthewasp.htm
4,A Quiet Place,https://www.boxofficemojo.com/movies/?id=aquietplace.htm
5,Crazy Rich Asians,https://www.boxofficemojo.com/movies/?id=crazyrichasians.htm
6,Ocean's 8,https://www.boxofficemojo.com/movies/?id=wbeventfilm2018c.htm
7,Mamma Mia! Here We Go Again,https://www.boxofficemojo.com/movies/?id=mammamia2.htm
8,The Nun,https://www.boxofficemojo.com/movies/?id=thenun.htm
9,A Wrinkle in Time,https://www.boxofficemojo.com/movies/?id=ladisneyfairytale22018.htm
10,Rampage (2018),https://www.boxofficemojo.com/movies/?id=newlinetentpole2018.htm
11,I Can Only Imagine,https://www.boxofficemojo.com/movies/?id=icanonlyimagine.htm
12,Game Night,https://www.boxofficemojo.com/movies/?id=gamenight.htm
13,Skyscraper,https://www.boxofficemojo.com/movies/?id=skyscraper.htm
14,Blockers,https://www.boxofficemojo.com/movies/?id=unirratedcomedy.htm
15,Maze Runner:The Death Cure,https://www.boxofficemojo.com/movies/?id=mazerunner3.htm
16,Tag,https://www.boxofficemojo.com/movies/?id=tag.htm
17,Overboard (2018),https://www.boxofficemojo.com/movies/?id=overboard2018.htm
18,I Feel Pretty,https://www.boxofficemojo.com/movies/?id=ifeelpretty.htm
19,Red Sparrow,https://www.boxofficemojo.com/movies/?id=redsparrow.htm
20,12 Strong,https://www.boxofficemojo.com/movies/?id=horsesoldiers2018.htm
21,Hereditary,https://www.boxofficemojo.com/movies/?id=a24horrora.htm
22,Tyler Perry's Acrimony,https://www.boxofficemojo.com/movies/?id=acrimony.htm
23,Uncle Drew,https://www.boxofficemojo.com/movies/?id=uncledrew.htm
24,"Love, Simon",https://www.boxofficemojo.com/movies/?id=untitledgregberlantifilm.htm
25,A Simple Favor,https://www.boxofficemojo.com/movies/?id=asimplefavor.htm
26,The 15:17 to Paris,https://www.boxofficemojo.com/movies/?id=1517toparis.htm
27,Alpha,https://www.boxofficemojo.com/movies/?id=sonyeventfilm2017.htm
28,The Spy Who Dumped Me,https://www.boxofficemojo.com/movies/?id=thespywhodumpedme.htm
29,The House With A Clock In Its Walls,https://www.boxofficemojo.com/movies/?id=thehousewithaclockinitswalls.htm
30,Peppermint,https://www.boxofficemojo.com/movies/?id=peppermint.htm
31,Super Troopers 2,https://www.boxofficemojo.com/movies/?id=supertroopers2.htm
32,Teen Titans Go! To The Movies,https://www.boxofficemojo.com/movies/?id=wbanimation62018.htm
33,Strangers:Prey at Night,https://www.boxofficemojo.com/movies/?id=strangers2.htm
34,Won't You Be My Neighbor?,https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
35,The Happytime Murders,https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
36,White Boy Rick,https://www.boxofficemojo.com/movies/?id=whiteboyrick.htm
37,"Paul, Apostle of Christ",https://www.boxofficemojo.com/movies/?id=paulapostleofchrist.htm
38,Chappaquiddick,https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
39,Forever My Girl,https://www.boxofficemojo.com/movies/?id=forevermygirl.htm
40,Eighth Grade,https://www.boxofficemojo.com/movies/?id=eighthgrade.htm
41,Three Identical Strangers,https://www.boxofficemojo.com/movies/?id=threeidenticalstrangers.htm
42,Padmaavat,https://www.boxofficemojo.com/movies/?id=padmaavat.htm
43,Midnight Sun,https://www.boxofficemojo.com/movies/?id=midnightsun.htm
44,Traffik,https://www.boxofficemojo.com/movies/?id=traffik.htm
45,Early Man,https://www.boxofficemojo.com/movies/?id=earlyman.htm
46,Sanju,https://www.boxofficemojo.com/movies/?id=sanju.htm
47,Dog Days (2018),https://www.boxofficemojo.com/movies/?id=dogdays2018.htm
48,A.X.L.,https://www.boxofficemojo.com/movies/?id=axl.htm
49,Every Day (2018),https://www.boxofficemojo.com/movies/?id=everyday2018.htm
50,Avengers:Infinity War,https://www.boxofficemojo.com/movies/?id=marvel0518.htm
51,Jurassic World:Fallen Kingdom,https://www.boxofficemojo.com/movies/?id=jurassicworldsequel.htm
52,Mission:Impossible - Fallout,https://www.boxofficemojo.com/movies/?id=missionimpossible6.htm
53,Solo:A Star Wars Story,https://www.boxofficemojo.com/movies/?id=untitledhansolostarwarsanthologyfilm.htm
54,Hotel Transylvania 3:Summer Vacation,https://www.boxofficemojo.com/movies/?id=hoteltransylvania3.htm
55,The Meg,https://www.boxofficemojo.com/movies/?id=wbeventfilm2018.htm
56,Ready Player One,https://www.boxofficemojo.com/movies/?id=readyplayerone.htm
57,Peter Rabbit,https://www.boxofficemojo.com/movies/?id=peterrabbit.htm
58,The Equalizer 2,https://www.boxofficemojo.com/movies/?id=theequalizer2.htm
59,Fifty Shades Freed,https://www.boxofficemojo.com/movies/?id=fiftyshadesfreed.htm
60,Disney's Christopher Robin,https://www.boxofficemojo.com/movies/?id=disneyfairytale2017.htm
61,The First Purge,https://www.boxofficemojo.com/movies/?id=purge4.htm
62,Book Club,https://www.boxofficemojo.com/movies/?id=bookclub.htm
63,Insidious:The Last Key,https://www.boxofficemojo.com/movies/?id=insidious4.htm
64,Pacific Rim Uprising,https://www.boxofficemojo.com/movies/?id=pacificrim2.htm
65,Tomb Raider,https://www.boxofficemojo.com/movies/?id=dcfilm0318.htm
66,Life of the Party ,https://www.boxofficemojo.com/movies/?id=lifeoftheparty.htm
67,Sicario:Day of the Soldado,https://www.boxofficemojo.com/movies/?id=sicario2.htm
68,BlacKkKlansman,https://www.boxofficemojo.com/movies/?id=blackkklansman.htm
69,Breaking In (2018),https://www.boxofficemojo.com/movies/?id=breakingin2018.htm
70,Den of Thieves,https://www.boxofficemojo.com/movies/?id=denofthieves.htm
71,The Predator (2018),https://www.boxofficemojo.com/movies/?id=thepredator.htm
72,Sherlock Gnomes,https://www.boxofficemojo.com/movies/?id=sherlockgnomes.htm
73,Truth or Dare,https://www.boxofficemojo.com/movies/?id=truthordare2017.htm
74,Paddington 2,https://www.boxofficemojo.com/movies/?id=paddington2.htm
75,The Commuter,https://www.boxofficemojo.com/movies/?id=thecommuter.htm
76,Mile 22,https://www.boxofficemojo.com/movies/?id=mile22.htm
77,Death Wish (2018),https://www.boxofficemojo.com/movies/?id=deathwish2017.htm
78,Annihilation,https://www.boxofficemojo.com/movies/?id=annihilation.htm
79,Isle Of Dogs,https://www.boxofficemojo.com/movies/?id=isleofdogs.htm
80,Adrift,https://www.boxofficemojo.com/movies/?id=adrift.htm
81,Slender Man,https://www.boxofficemojo.com/movies/?id=slenderman.htm
82,Winchester,https://www.boxofficemojo.com/movies/?id=winchester.htm
83,Searching,https://www.boxofficemojo.com/movies/?id=searching.htm
84,Proud Mary,https://www.boxofficemojo.com/movies/?id=proudmary.htm
85,Superfly,https://www.boxofficemojo.com/movies/?id=superfly.htm
86,Show Dogs,https://www.boxofficemojo.com/movies/?id=showdogs.htm
87,Sorry to Bother You,https://www.boxofficemojo.com/movies/?id=sorrytobotheryou.htm
88,Operation Finale,https://www.boxofficemojo.com/movies/?id=operationfinale.htm
89,RBG,https://www.boxofficemojo.com/movies/?id=rbg.htm
90,The Darkest Minds,https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
91,Upgrade,https://www.boxofficemojo.com/movies/?id=upgrade.htm
92,The Miracle Season,https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
93,Tully (2018),https://www.boxofficemojo.com/movies/?id=tully2018.htm
94,Unfriended:Dark Web,https://www.boxofficemojo.com/movies/?id=unfriended2.htm
95,The Death of Stalin,https://www.boxofficemojo.com/movies/?id=thedeathofstalin.htm
96,Unsane,https://www.boxofficemojo.com/movies/?id=unsane.htm
97,Hotel Artemis,https://www.boxofficemojo.com/movies/?id=hotelartemis.htm
98,The Hurricane Heist,https://www.boxofficemojo.com/movies/?id=hurricaneheist.htm
99,Leave No Trace,https://www.boxofficemojo.com/movies/?id=leavenotrace.htm
100,Star Wars:The Last Jedi,https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,Wonder Woman,https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,Guardians of the Galaxy Vol. 2,https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,It,https://www.boxofficemojo.com/movies/?id=it.htm
104,Despicable Me 3,https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,Logan,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,Coco,https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,Get Out,https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,The Boss Baby,https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,Pirates of the Caribbean:Dead Men Tell No Tales,https://www.boxofficemojo.com/movies/?id=potc5.htm
110,Cars 3,https://www.boxofficemojo.com/movies/?id=cars3.htm
111,Split,https://www.boxofficemojo.com/movies/?id=split2017.htm
112,Transformers:The Last Knight,https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,Fifty Shades Darker,https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,Pitch Perfect 3,https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,Murder on the Orient Express (2017),https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,Kingsman:The Golden Circle,https://www.boxofficemojo.com/movies/?id=kingsman2.htm
